Universidad,Tipo,Especialidad.SubEspecialidad,Modalidad,Serum,SNCDS,X1er.Niv.,X5to.Sup.,Prom.Pre,ENAM,Examen,Factor.A.,Nota.Final,Sede
URP,Esp.,ANESTESIOLOGIA,Libre,6,NA,NA,NA,1.716,NA,36.8,15.2,59.716,NA
UNMSM,Esp.,PEDIATRIA,Libre,10,NA,NA,NA,1.615,1.5,36,15.2,64.315,NA
UNMSM,Esp.,OTORRINOLARINGOLOGIA,Libre,10,NA,NA,NA,1.99,1,38.4,15.2,66.59,NA
USMP,Esp.,PEDIATRIA,Libre,10,NA,NA,NA,1.835,1,37.2,15.2,65.235,NA
UNSAAC,Esp.,RADIOLOGIA,Libre,10,NA,NA,NA,3.741,NA,50.8,15.2,79.741,Hospital Nacional Adolfo Guevara Velasco HN Sur Este Cusco
UNFV,Esp.,OTORRINOLARINGOLOGIA,Libre,10,NA,NA,1,1.859,1.5,54.8,15.2,84.359,NA
USMP,Esp.,ANESTESIOLOGIA,Libre,8,NA,NA,NA,1.563,NA,36,15.2,60.763,NA
UNSA,Esp.,CIRUGIA GENERAL,Libre,8,NA,NA,NA,1.582,NA,35.2,15.2,59.982,NA
UNA,Esp.,ANESTESIOLOGIA,Libre,8,NA,1,NA,1.925,NA,26,15.2,52.125,NA
UNPRG,Esp.,UROLOGIA,Libre,10,NA,NA,NA,1.733,NA,53.6,15.2,80.533,Hospital Belén de Trujillo
UPCH,Esp.,NEUROCIRUGIA,Libre,10,NA,NA,NA,1.843,NA,27.2,15.2,54.243,NA
UNMSM,Esp.,PEDIATRIA,Libre,10,NA,NA,NA,1.702,1,41.6,15.2,69.502,NA
URP,Esp.,PSIQUIATRIA,Libre,10,NA,NA,NA,1.506,NA,30.8,15.2,57.506,NA
UPAO,Esp.,CIRUGIA GENERAL,Libre,8,NA,NA,NA,1.669,1,38,15.2,63.869,NA
CENTRO 1,Sub.,CIRUGIA ONCOLOGICA ABDOMINAL,Libre,6,NA,NA,NA,1.812,2,54.4,5.6,69.812,NA
UPCH,Esp.,CIRUGIA ONCOLOGICA,Libre,10,NA,NA,NA,1.631,1.5,49.2,15.2,77.531,NA
UPT,Esp.,GINECOLOGIA Y OBSTETRICIA,Libre,6,NA,NA,NA,1.567,1,47.6,15.2,71.367,Hospital Hipólito Unanue de Tacna
UPAO,Esp.,PEDIATRIA,Libre,8,NA,2,NA,2.055,1,45.2,15.2,73.455,Hospital Tarapoto
UNMSM,Esp.,MEDICINA INTERNA,Libre,8,NA,4,NA,1.634,NA,38,15.2,66.834,Hospital Nacional Arzobispo Loayza
URP,Esp.,ANESTESIOLOGIA,Libre,10,NA,NA,NA,1.784,1,39.2,15.2,67.184,NA
UNMSM,Esp.,DERMATOLOGIA,Cautiva/MINSA en sedes del MINSA de Lima Metropolitana,10,NA,4,NA,3.41,NA,29.6,21.2,68.21,NA
URP,Esp.,OFTALMOLOGIA,Libre,8,NA,NA,NA,3.131,NA,41.6,15.2,67.931,NA
UNSA,Esp.,MEDICINA DE EMERGENCIAS Y DESASTRES,Cautiva/ESSALUD,10,NA,NA,NA,3.354,NA,42,21.2,76.554,Hospital Carlos Alberto Seguín Escobedo - Arequipa
UNMSM,Esp.,GASTROENTEROLOGIA,Libre,10,NA,NA,NA,1.787,1,38.4,15.2,66.387,NA
URP,Esp.,CIRUGIA ONCOLOGICA,Libre,6,NA,NA,NA,1.56,1,43.2,15.2,66.96,NA
UCSM,Esp.,ORTOPEDIA Y TRAUMATOLOGIA,Libre,8,NA,NA,NA,1.718,NA,52.4,15.2,77.318,NA
USMP,Esp.,CIRUGIA PEDIATRICA,Libre,8,NA,NA,NA,1.906,1,44.8,15.2,70.906,NA
UPCH,Esp.,ANESTESIOLOGIA,Libre,8,NA,1,NA,2.165,NA,38,15.2,64.365,NA
UPCH,Esp.,GINECOLOGIA Y OBSTETRICIA,Libre,10,NA,NA,NA,1.692,1,49.6,15.2,77.492,Hospital Nacional Cayetano Heredia
UPLA,Esp.,ORTOPEDIA Y TRAUMATOLOGIA,Libre,8,NA,NA,NA,1.678,NA,34.4,15.2,59.278,NA
UNMSM,Esp.,ENDOCRINOLOGIA,Libre,10,NA,NA,1,2.029,2,60.4,15.2,90.629,Hospital Nacional Guillermo Almenara Irigoyen
URP,Esp.,CARDIOLOGIA,Libre,10,NA,NA,NA,1.89,1.5,54,15.2,82.59,NA
UNSA,Esp.,CIRUGIA GENERAL,Libre,8,NA,NA,NA,1.798,1.5,42.8,15.2,69.298,NA
UNMSM,Esp.,CIRUGIA GENERAL,Libre,10,NA,NA,NA,1.58,1.5,48.8,15.2,77.08,NA
USMP,Esp.,MEDICINA INTERNA,Libre,10,NA,NA,NA,1.924,1.5,54.4,15.2,83.024,Hospital Nacional Edgardo Rebagliati Martins
URP,Esp.,GASTROENTEROLOGIA,Libre,10,NA,NA,NA,1.608,1.5,57.6,15.2,85.908,Hospital Santa Rosa
CENTRO 3,Sub.,CIRUGIA PLASTICA,Cautiva/ESSALUD,10,NA,2,NA,3.774,NA,51.2,8.8,75.774,Hospital Nacional Guillermo Almenara Irigoyen
UNFV,Esp.,ANESTESIOLOGIA,Libre,8,NA,NA,NA,1.678,1,52,15.2,77.878,Hospital María Auxiliadora
